ID,性别,性别2,年龄,注册时间,文化程度,文化程度2,毕业院校,学习形式,征信记录,借款用途,还款来源,工作信息,收入情况,收入情况2,网络借贷平台待还余额,成功借款次数,成功还款次数,正常还清次数,逾期（0-15天）还清次数,逾期（15天以上）还清次数,资金运用情况,其他事项,累计借款金额,待还金额,单笔最高借款金额,历史最高负债
127920806,男,1,21,2017/4/5,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"6,443.00",0,0,0,0,0,日常消费,暂无,0,0,0,0
127920811,男,1,38,2017/8/23,本科,3,上海理工大学,普通,暂未提供,旅游,经营收入,私营业主,15000及以上,5,"98,319.00",6,22,22,0,0,旅游,暂无,30900,6915.69,10000,11337.46
127920813,男,1,23,2015/9/12,专科,2,西南交通大学,成人,暂未提供,日常消费,经营收入,暂未提供,5000-8000（含5000）,3,"17,649.00",6,30,27,3,0,日常消费,暂无,8400,0,3000,5934.52
127920815,女,2,38,2017/4/30,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,8000-15000（含8000）,4,暂未提供,13,76,73,2,0,日常消费,暂无,39850,11656.2,8245,13334.77
127920817,男,1,21,2018/6/23,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"3,461.00",1,4,4,0,0,日常消费,暂无,1200,471.98,1200,1415.94
127920820,男,1,20,2017/12/27,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,1,8,2,6,0,日常消费,暂无,3000,1279.68,3000,4079.04
127920824,男,1,39,2015/12/23,无,1,无,无,暂未提供,生产经营,经营收入,私营业主,15000及以上,5,暂未提供,5,38,35,3,0,生产经营,暂无,9154,0,3043,5235.74
127920826,男,1,22,2016/12/15,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,4,18,13,5,0,日常消费,暂无,5714,0,2000,2689.99
127920827,男,1,19,2018/4/11,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,1,5,5,0,0,日常消费,暂无,1500,1119.79,1500,2039.64
127920828,男,1,29,2017/12/26,无,1,无,无,暂未提供,医疗,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,1,8,8,0,0,医疗,暂无,1500,639.8,1500,2039.4
127920829,女,2,23,2017/10/10,无,1,无,无,暂未提供,旅游,薪资收入,暂未提供,5000-8000（含5000）,3,"1,333.00",7,27,26,1,0,旅游,暂无,9810,4430.91,3000,7639.62
127920830,女,2,27,2018/1/3,无,1,无,无,暂未提供,医疗,薪资收入,暂未提供,2000-5000（含2000）,2,"2,778.00",2,8,8,0,0,医疗,暂无,5797,4105.96,5000,6798.84
127920831,女,2,28,2016/2/3,无,1,无,无,暂未提供,生产经营,经营收入,私营业主,15000及以上,5,暂未提供,11,65,46,15,3,生产经营,暂无,23568,3281.48,5000,8041.96
127920832,男,1,18,2018/9/7,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,0,0,0,0,0,日常消费,暂无,0,0,0,0
127920833,男,1,25,2018/5/9,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,8000-15000（含8000）,4,暂未提供,1,4,3,1,0,日常消费,暂无,10000,9066.48,10000,13599.72
127920835,男,1,32,2015/11/27,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,8000-15000（含8000）,4,"155,677.00",1,3,2,1,0,日常消费,暂无,4000,3913.74,4000,5439.96
127920837,男,1,45,2016/3/3,无,1,无,无,暂未提供,旅游,薪资收入,暂未提供,5000-8000（含5000）,3,"35,629.00",9,57,53,2,0,旅游,暂无,20383,0,4855,10483.56
127920838,女,2,48,2018/6/21,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,15000及以上,5,暂未提供,1,2,1,1,0,日常消费,暂无,5500,6397.6,5500,7197.3
127920839,男,1,38,2016/10/21,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,2000-5000（含2000）,2,"4,918.00",9,40,31,8,0,日常消费,暂无,14200,5000.52,5600,6980.71
127920840,男,1,36,2017/5/20,无,1,无,无,暂未提供,日常消费,经营收入,暂未提供,15000及以上,5,暂未提供,7,25,25,0,0,日常消费,暂无,19474,0,5200,6132.72
127920841,男,1,26,2016/8/14,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,4,"63,144.00",9,56,53,3,0,日常消费,暂无,12738,3773.46,3000,6091.18
127920843,男,1,31,2017/4/13,无,1,无,无,暂未提供,日常消费,经营收入,暂未提供,5000-8000（含5000）,3,暂未提供,6,37,37,0,0,日常消费,暂无,5435,1446.58,1602,2813.02
127920845,男,1,32,2018/7/19,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,0,0,0,0,0,日常消费,暂无,0,0,0,0
127920846,男,1,47,2018/4/3,无,1,无,无,暂未提供,旅游,经营收入,暂未提供,暂未提供,0,暂未提供,0,0,0,0,0,旅游,暂无,0,0,0,0
127920849,男,1,24,2018/6/10,无,1,无,无,暂未提供,医疗,薪资收入,私营业主,2000-5000（含2000）,2,暂未提供,1,3,0,3,0,医疗,暂无,3000,3059.91,3000,4105.52
127920852,男,1,23,2017/5/10,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,8000-15000（含8000）,4,"2,608.00",12,78,77,1,0,日常消费,暂无,21530,3287.39,3026,11006.53
127920853,女,2,22,2017/12/21,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"5,799.00",3,16,16,0,0,日常消费,暂无,3627,1790.22,2500,3399.06
127920854,女,2,32,2015/12/6,无,1,无,无,暂未提供,日常消费,个人存款,暂未提供,5000-8000（含5000）,3,"4,854.00",24,185,161,24,0,日常消费,暂无,65727,10916.94,9359,17261.38
127920856,男,1,28,2015/11/11,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,17,159,155,3,0,日常消费,暂无,52325,0,10987,27197.09
127920857,男,1,27,2015/7/10,无,1,无,无,无逾期,生产经营,薪资收入,暂未提供,8000-15000（含8000）,4,"12,864.00",14,87,85,2,0,生产经营,暂无,54085,0,8460,20400.29
127920860,男,1,28,2017/11/22,无,1,无,无,暂未提供,日常消费,经营收入,暂未提供,8000-15000（含8000）,4,暂未提供,1,2,2,0,0,日常消费,暂无,4500,5054.2,4500,6065.04
127920861,男,1,41,2017/3/6,无,1,无,无,暂未提供,兼职创业,薪资收入,暂未提供,15000及以上,5,"13,763.00",22,113,113,0,0,兼职创业,暂无,37318,8928.86,4000,10509.67
127920862,女,2,30,2016/8/26,本科,3,河北传媒学院,普通,暂未提供,装修,薪资收入,公务员,5000-8000（含5000）,3,暂未提供,15,105,97,8,0,装修,暂无,57552,10310.98,8000,22813.01
127920863,女,2,22,2018/9/10,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,5000-8000（含5000）,3,暂未提供,0,0,0,0,0,日常消费,暂无,0,0,0,0
127920864,女,2,25,2017/9/20,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,8000-15000（含8000）,4,暂未提供,3,9,9,0,0,日常消费,暂无,8000,3010.4,4000,4500.15
127920866,男,1,29,2016/9/22,无,1,无,无,暂未提供,日常消费,薪资收入,工薪族,暂未提供,0,暂未提供,1,6,1,2,3,日常消费,暂无,1000,0,1000,1014.14
127920869,男,1,23,2016/3/8,无,1,无,无,无逾期,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,2,18,14,4,0,日常消费,暂无,7000,0,5000,7167.7
127920870,男,1,29,2016/2/15,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,8000-15000（含8000）,4,暂未提供,2,24,15,7,2,日常消费,暂无,5500,0,3000,3659.12
127920871,男,1,22,2017/4/19,无,1,无,无,暂未提供,装修,薪资收入,暂未提供,8000-15000（含8000）,4,暂未提供,0,0,0,0,0,装修,暂无,0,0,0,0
127920872,男,1,27,2018/5/8,专科,2,江汉大学,成人,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,"16,159.00",3,8,8,0,0,日常消费,暂无,5200,3965.22,3000,6035.46
127920873,女,2,30,2014/3/21,无,1,无,无,暂未提供,装修,薪资收入,暂未提供,5000-8000（含5000）,3,"51,576.00",0,0,0,0,0,装修,暂无,0,0,0,0
127920874,男,1,27,2016/9/22,无,1,无,无,暂未提供,装修,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,9,57,33,22,0,装修,暂无,17772,6585.84,2795,9022.96
127920876,男,1,33,2016/6/15,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,18,144,144,0,0,日常消费,暂无,87722,12654.72,16000,32442.38
127920877,男,1,29,2017/2/19,专科,2,肇庆工商职业技术学院,普通,暂未提供,医疗,薪资收入,私营业主,2000-5000（含2000）,2,暂未提供,7,40,34,5,0,医疗,暂无,21122,5706.66,7185,9850.73
127920880,男,1,23,2016/11/24,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,18,56,56,0,0,日常消费,暂无,37783,5924.14,5811,10086.98
127920881,男,1,21,2017/8/28,无,1,无,无,暂未提供,兼职创业,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,2,7,4,3,0,兼职创业,暂无,6400,2246.3,3400,4315.32
127920883,男,1,23,2018/3/23,无,1,无,无,暂未提供,日常消费,经营收入,暂未提供,5000-8000（含5000）,3,暂未提供,1,6,1,5,0,日常消费,暂无,5000,0,5000,6275.9
127920884,女,2,25,2016/12/18,专科,2,广东女子职业技术学院,普通,暂未提供,日常消费,经营收入,暂未提供,8000-15000（含8000）,4,"125,542.00",2,6,6,0,0,日常消费,暂无,17382,14287.4,15000,18050.76
127920888,男,1,26,2016/11/5,专科,2,泉州纺织服装职业学院,普通,无逾期,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"121,049.00",15,97,97,0,0,日常消费,暂无,59278,14199.15,10200,19147.6
127920890,男,1,24,2017/7/31,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,2000-5000（含2000）,2,暂未提供,1,2,1,1,0,日常消费,暂无,1400,1101.24,1400,1677.5
127920891,男,1,30,2014/8/2,本科,3,杭州师范大学钱江学院,普通,暂未提供,装修,薪资收入,私营业主,8000-15000（含8000）,4,"104,440.00",12,100,82,18,0,装修,暂无,40134,1823.95,8200,10243.59
127920892,男,1,32,2016/1/7,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,20,94,71,23,0,日常消费,暂无,25683,0,3043,5573.16
127920899,男,1,27,2016/3/28,无,1,无,无,暂未提供,日常消费,经营收入,暂未提供,5000-8000（含5000）,3,暂未提供,3,30,15,15,0,日常消费,暂无,6025,0,2300,3750.71
127920901,男,1,21,2017/8/24,无,1,无,无,暂未提供,生产经营,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,1,9,4,5,0,生产经营,暂无,2750,862.77,2750,3461.53
127920902,男,1,28,2016/6/13,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,3,15,9,6,0,日常消费,暂无,5686,0,2000,4467.12
127920903,女,2,24,2017/2/21,无,1,无,无,暂未提供,医疗,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,2,18,16,2,0,医疗,暂无,9827,0,8827,10963.72
127920904,女,2,46,2016/2/3,无,1,无,无,暂未提供,旅游,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,8,67,66,0,0,旅游,暂无,42473,6449.21,11707,16520.46
127920906,男,1,26,2017/3/16,无,1,无,无,暂未提供,生产经营,个人存款,暂未提供,2000-5000（含2000）,2,"3,200.00",0,0,0,0,0,生产经营,暂无,0,0,0,0
127920908,男,1,23,2016/6/15,无,1,无,无,暂未提供,旅游,薪资收入,私营业主,5000-8000（含5000）,3,暂未提供,1,2,2,0,0,旅游,暂无,4200,4759.9,4200,5711.88
127920909,男,1,38,2017/5/12,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,5000-8000（含5000）,3,"17,500.00",1,2,2,0,0,日常消费,暂无,3800,2989.2,3800,4483.8
127920910,男,1,41,2014/11/21,无,1,无,无,暂未提供,装修,投资收入,私营业主,5000-8000（含5000）,3,暂未提供,3,18,14,4,0,装修,暂无,3716,0,2800,3254.46
127920912,男,1,35,2016/9/23,无,1,无,无,暂未提供,装修,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,35,110,107,0,0,装修,暂无,67017,5076.12,6500,12134.62
127920915,女,2,23,2018/8/7,无,1,无,无,暂未提供,旅游,薪资收入,暂未提供,5000-8000（含5000）,3,"10,271.00",1,2,2,0,0,旅游,暂无,1000,762.6,1000,1143.9
127920916,男,1,30,2014/8/20,无,1,无,无,暂未提供,旅游,薪资收入,暂未提供,5000-8000（含5000）,3,"1,300.00",31,227,223,3,0,旅游,暂无,82248,6100.2,9233,14938.21
127920918,女,2,23,2017/8/29,专科,2,咸宁职业技术学院,普通,暂未提供,兼职创业,薪资收入,暂未提供,2000-5000（含2000）,2,"13,333.00",1,2,1,1,0,兼职创业,暂无,2350,1848.56,2350,2772.84
127920920,女,2,30,2018/5/12,无,1,无,无,暂未提供,医疗,个人存款,暂未提供,5000-8000（含5000）,3,"62,970.00",1,2,1,1,0,医疗,暂无,2350,853.81,2350,2599.55
127920922,男,1,36,2017/10/1,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"9,082.00",1,0,0,0,0,日常消费,暂无,0,0,0,0
127920923,男,1,36,2018/8/16,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"10,000.00",1,1,1,0,0,日常消费,暂无,1100,0,1100,1495.92
127920924,男,1,28,2017/3/10,专科,2,电子科技大学,网络教育,暂未提供,装修,薪资收入,暂未提供,5000-8000（含5000）,3,"14,000.00",1,8,8,0,0,装修,暂无,6800,0,6800,7637.28
127920925,男,1,21,2018/6/23,无,1,无,无,暂未提供,医疗,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,0,0,0,0,0,医疗,暂无,0,0,0,0
127920926,女,2,26,2016/11/26,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,"12,302.00",20,117,98,16,0,日常消费,暂无,58063,8387.96,8939,19904.31
127920929,男,1,34,2016/12/17,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,5000-8000（含5000）,3,暂未提供,7,33,32,0,0,日常消费,暂无,8221,0,2400,4383.91
127920930,男,1,20,2015/11/26,无,1,无,无,暂未提供,医疗,薪资收入,暂未提供,2000以下,1,暂未提供,3,27,26,1,0,医疗,暂无,2200,0,1000,888.3
127920934,男,1,26,2018/9/7,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"5,807.00",0,0,0,0,0,日常消费,暂无,0,0,0,0
127920936,男,1,18,2018/9/10,无,1,无,无,暂未提供,兼职创业,经营收入,暂未提供,5000-8000（含5000）,3,"1,346.00",0,0,0,0,0,兼职创业,暂无,0,0,0,0
127920937,男,1,30,2017/12/5,无,1,无,无,暂未提供,旅游,薪资收入,私营业主,2000以下,1,暂未提供,3,16,13,3,0,旅游,暂无,5359,852.77,2500,3127.24
127920938,男,1,20,2018/6/5,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,2,2,2,0,0,日常消费,暂无,1210,0,610,707.94
127920939,男,1,26,2016/1/30,无,1,无,无,暂未提供,日常消费,个人存款,私营业主,5000-8000（含5000）,3,暂未提供,6,32,27,5,0,日常消费,暂无,9890,2507.38,2600,4905.46
127920940,男,1,30,2017/6/4,无,1,无,无,暂未提供,日常消费,个人存款,暂未提供,8000-15000（含8000）,4,暂未提供,4,27,27,0,0,日常消费,暂无,7416,1856.6,3000,4145.52
127920941,男,1,19,2017/4/26,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,2,9,5,4,0,日常消费,暂无,3500,0,3000,3529.2
127920942,女,2,36,2016/5/9,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,5000-8000（含5000）,3,暂未提供,3,20,15,5,0,日常消费,暂无,12805,3942.22,6000,6903.05
127920943,女,2,27,2017/1/2,专科,2,湖南城建职业技术学院,成人,暂未提供,日常消费,薪资收入,私营业主,5000-8000（含5000）,3,暂未提供,3,11,11,0,0,日常消费,暂无,5900,573.36,5900,6880.32
127920945,男,1,29,2017/7/18,本科,3,阜阳师范学院,普通,暂未提供,旅游,经营收入,私营业主,15000及以上,5,暂未提供,1,3,0,3,0,旅游,暂无,7000,6884.74,7000,9555.23
127920947,男,1,25,2015/12/2,无,1,无,无,暂未提供,医疗,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,11,116,89,25,0,医疗,暂无,12926,1144.29,2000,4474.4
127920950,男,1,43,2016/3/2,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,8000-15000（含8000）,4,"26,699.00",17,49,48,1,0,日常消费,暂无,24555,3468.19,3770,6799.23
127920952,男,1,19,2016/9/28,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,1,2,2,0,0,日常消费,暂无,2090,759.35,2090,2278.05
127920953,男,1,29,2017/8/25,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,4,暂未提供,10,38,30,8,0,日常消费,暂无,27012,4819.7,8500,10719.37
127920954,男,1,32,2017/9/6,无,1,无,无,暂未提供,装修,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,2,18,17,1,0,装修,暂无,15000,0,13000,15550.32
127920955,女,2,41,2016/9/14,无,1,无,无,暂未提供,装修,经营收入,私营业主,5000-8000（含5000）,3,"28,475.00",5,24,15,8,1,装修,暂无,7511,0,2628,4251.66
127920956,男,1,37,2015/11/16,无,1,无,无,暂未提供,生产经营,经营收入,私营业主,5000-8000（含5000）,3,暂未提供,9,76,73,3,0,生产经营,暂无,21096,3754.15,5700,13275.23
127920957,男,1,25,2017/12/25,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,2000-5000（含2000）,2,暂未提供,3,15,15,0,0,日常消费,暂无,4103,2086.68,2500,3399.08
127920958,男,1,31,2016/12/21,本科,3,南京大学,普通,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,1,9,5,4,0,日常消费,暂无,4500,1439.64,4500,6118.56
127920965,男,1,27,2017/5/7,无,1,无,无,暂未提供,日常消费,经营收入,暂未提供,5000-8000（含5000）,3,"18,720.00",3,9,9,0,0,日常消费,暂无,3000,0,1100,1691.66
127920966,女,2,22,2015/5/26,专科,2,湖南铁路科技职业技术学院,普通,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,0,0,0,0,0,日常消费,暂无,0,0,0,0
127920967,男,1,20,2017/9/4,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,8000-15000（含8000）,4,暂未提供,2,8,8,0,0,日常消费,暂无,6150,1532.6,3250,3680.34
127920968,男,1,42,2016/10/31,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,15000及以上,5,暂未提供,4,16,15,1,0,日常消费,暂无,8517,2049.35,3300,3985.71
127920969,男,1,31,2016/3/8,专科,2,河南检察职业学院,普通全日制,暂未提供,生产经营,经营收入,私营业主,5000-8000（含5000）,3,"5,000.00",14,74,72,2,0,生产经营,暂无,23680,4274.74,4000,9777
127920970,男,1,21,2017/1/4,无,1,无,无,暂未提供,生产经营,薪资收入,暂未提供,5000-8000（含5000）,3,"17,104.00",1,4,4,0,0,生产经营,暂无,1000,393.3,1000,1179.9
127920973,男,1,24,2016/9/30,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,8000-15000（含8000）,4,暂未提供,10,23,19,4,0,日常消费,暂无,20669,0,5800,7063.58
127920975,男,1,29,2017/6/25,无,1,无,无,有逾期,信用卡,日常消费,个人存款,5000-8000（含5000）,3,暂未提供,7,37,34,3,0,日常消费,暂无,8442,2952.29,2800,5463.26
127920977,男,1,34,2016/12/27,专科,2,广州市广播电视大学,成人,暂未提供,日常消费,个人存款,暂未提供,2000-5000（含2000）,2,"86,801.00",12,74,72,2,0,日常消费,暂无,39203,12799.32,8000,15418.09
127920978,女,2,23,2015/8/22,无,1,无,无,暂未提供,日常消费,个人存款,暂未提供,2000-5000（含2000）,2,暂未提供,2,17,5,11,0,日常消费,暂无,5220,1815.15,4500,6118.5
127920979,男,1,18,2018/5/5,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,2,7,7,0,0,日常消费,暂无,2988,2481.4,1500,3507.56
127920980,男,1,34,2016/8/4,无,1,无,无,暂未提供,装修,经营收入,暂未提供,5000-8000（含5000）,3,暂未提供,1,6,1,5,0,装修,暂无,3500,0,3500,3963.12
127920982,男,1,26,2017/4/18,无,1,无,无,暂未提供,日常消费,投资收入,暂未提供,5000-8000（含5000）,3,暂未提供,9,48,33,13,0,日常消费,暂无,15808,3732.26,3500,6173.23
127920983,男,1,33,2017/3/3,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,1,2,2,0,0,日常消费,暂无,4000,3182.4,4000,4719.78
127920984,男,1,19,2017/9/11,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,5,21,21,0,0,日常消费,暂无,13633,3587.88,5500,6717.85
127920985,男,1,26,2017/11/15,无,1,无,无,暂未提供,兼职创业,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,4,19,16,3,0,兼职创业,暂无,11880,1764.45,5000,6053.39
127920986,男,1,28,2015/11/25,无,1,无,无,暂未提供,旅游,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,19,147,127,15,0,旅游,暂无,17239,0,1400,8771.32
127920987,女,2,27,2017/2/25,无,1,无,无,暂未提供,旅游,薪资收入,暂未提供,5000-8000（含5000）,3,"44,810.00",7,12,12,0,0,旅游,暂无,11093,0,7600,8095.02
127920989,男,1,33,2017/9/6,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,8000-15000（含8000）,4,"2,600.00",4,7,7,0,0,日常消费,暂无,3030,0,1000,1881.17
127920993,女,2,37,2016/6/6,无,1,无,无,暂未提供,医疗,个人存款,暂未提供,8000-15000（含8000）,4,暂未提供,0,0,0,0,0,医疗,暂无,0,0,0,0
127920994,男,1,25,2017/2/18,无,1,无,无,暂未提供,装修,薪资收入,私营业主,2000-5000（含2000）,2,暂未提供,12,66,60,6,0,装修,暂无,31334,3003,8500,10446.65
127920997,男,1,34,2016/7/3,专科,2,青岛广播电视大学,普通,暂未提供,生产经营,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,15,81,63,17,0,生产经营,暂无,32649,543.63,5000,7849.49
127921000,男,1,21,2017/7/12,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,5000-8000（含5000）,3,暂未提供,1,6,1,5,0,日常消费,暂无,2500,0,2500,3092.46
127921003,男,1,21,2016/12/11,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,2000-5000（含2000）,2,暂未提供,1,13,4,4,4,日常消费,暂无,750,0,750,905.23
127921004,男,1,36,2017/8/30,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"1,280.00",1,3,2,1,0,日常消费,暂无,4000,2359.89,4000,4719.78
127921005,男,1,35,2016/4/26,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,5000-8000（含5000）,3,暂未提供,8,54,54,0,0,日常消费,暂无,9112,0,2490,4275.28
127921006,女,2,34,2016/10/12,无,1,无,无,暂未提供,日常消费,经营收入,私营业主,8000-15000（含8000）,4,"31,987.00",1,2,1,1,0,日常消费,暂无,9500,12337.38,9500,13484.44
127921007,男,1,19,2017/9/27,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,2,7,5,2,0,日常消费,暂无,1030,0,530,697.6
127921008,女,2,27,2016/3/30,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,暂未提供,6,33,30,3,0,日常消费,暂无,14411,0,4100,7321.07
127921009,男,1,26,2018/1/13,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"19,200.00",1,5,5,0,0,日常消费,暂无,5000,0,5000,6797.76
127921011,女,2,29,2017/3/25,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,"3,000.00",17,116,107,9,0,日常消费,暂无,47685,8196.92,12000,15163.86
127921013,男,1,36,2018/2/10,专科,2,攀枝花学院,普通,暂未提供,日常消费,薪资收入,私营业主,5000-8000（含5000）,3,"48,319.00",2,6,6,0,0,日常消费,暂无,5795,4951.82,5000,6797.72
127921014,男,1,25,2018/5/9,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,1,4,3,1,0,日常消费,暂无,4000,3626.56,4000,5439.84
127921015,男,1,31,2017/12/3,无,1,无,无,暂未提供,装修,经营收入,私营业主,5000-8000（含5000）,3,暂未提供,1,15,3,6,0,装修,暂无,9500,2736.48,9500,10945.92
127921017,男,1,21,2016/10/19,无,1,无,无,暂未提供,日常消费,薪资收入,私营业主,2000-5000（含2000）,2,暂未提供,1,7,4,3,0,日常消费,暂无,2000,1045.55,2000,2719.32
127921019,男,1,35,2015/10/16,本科,3,贵阳学院,普通,暂未提供,日常消费,经营收入,暂未提供,5000-8000（含5000）,3,500,3,22,6,12,3,日常消费,暂无,15400,4069.38,7400,8730.75
127921022,女,2,31,2018/6/22,无,1,无,无,暂未提供,装修,经营收入,私营业主,15000及以上,5,暂未提供,1,2,1,1,0,装修,暂无,6200,4877.32,6200,7315.98
127921023,女,2,35,2016/6/12,无,1,无,无,暂未提供,日常消费,经营收入,暂未提供,8000-15000（含8000）,4,暂未提供,1,3,3,0,0,日常消费,暂无,4200,0,4200,4648.17
127921024,男,1,48,2017/3/14,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,6,21,21,0,0,日常消费,暂无,33831,9740.05,8500,13317.33
127921025,男,1,27,2017/11/2,专科,2,云南财经大学,函授,暂未提供,旅游,薪资收入,暂未提供,5000-8000（含5000）,3,"131,542.00",2,10,10,0,0,旅游,暂无,11200,1750.48,6500,7422.12
127921026,女,2,30,2017/1/7,无,1,无,无,暂未提供,医疗,薪资收入,暂未提供,8000-15000（含8000）,4,暂未提供,2,15,13,2,0,医疗,暂无,4320,0,2500,2791.02
127921035,男,1,47,2017/9/11,无,1,无,无,暂未提供,医疗,经营收入,暂未提供,5000-8000（含5000）,3,500,1,4,4,0,0,医疗,暂无,1000,0,1000,1179.84
127921036,男,1,42,2016/3/18,无,1,无,无,暂未提供,日常消费,个人存款,暂未提供,5000-8000（含5000）,3,暂未提供,0,0,0,0,0,日常消费,暂无,0,0,0,0
127921037,男,1,20,2017/1/5,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,5000-8000（含5000）,3,暂未提供,2,18,18,0,0,日常消费,暂无,7322,2123.76,4622,5994.15
127921039,男,1,24,2016/8/16,本科,3,西北大学现代学院,普通,暂未提供,生产经营,薪资收入,暂未提供,8000-15000（含8000）,4,暂未提供,1,2,1,1,0,生产经营,暂无,3000,1089.99,3000,3305.64
127921046,女,2,22,2017/11/17,无,1,无,无,暂未提供,日常消费,薪资收入,暂未提供,2000-5000（含2000）,2,"21,109.00",3,11,11,0,0,日常消费,暂无,4100,0,2000,1529.76
